W W D W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W E
W F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F W E
W F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F D E
W F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F W E
W F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F W E
W F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F W E
W F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F W E
W F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F W E
W F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F W E
W F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F W E
W F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F W E
W F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F W E
W F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F W E
W F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F W E
W F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F W E
W F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F W E
W F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F W E
W F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F W E
W F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F W E
W F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F W E
W F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F W E
W F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F W E
W F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F W E
W F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F W E
W F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F W E
W F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F W E
W F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F W E
W F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F W E
W F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F W E
W F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F W E
W F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F W E
W F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F W E
W F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F W E
W F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F W E
W F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F W E
W F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F W E
W F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F W E
D F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F W E
W F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F W E
W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W D W W E
